,param1,param10,param11,param12,param13,param14,param15,param16,param17,param18,param19,param2,param20,param3,param4,param5,param6,param7,param8,param9
756_autoPrice,83.5,78.96875,84.5,81.90625,88.03125,84.0625,93.9375,87.84375,86.875,89.3125,83.84375,82.25,88.59375,86.90625,83.5,84.71875,82.65625,81.78125,83.375,78.46875
889_fri_c0_100_25,49.5,47.5,50.55,53.05,53.9,52.3,52.35,51.9,52.5,52.45,53.5,52.1,54.2,50.5,51.75,50.95,47.5,49.2,50.45,48.7
895_chscase_geyser1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8_liver-disorders,64.23188405797102,68.04347826086956,,,,53.21739130434783,57.17391304347826,,,,,63.1159420289855,,65.94202898550725,64.72463768115942,64.31884057971014,68.66666666666666,68.31884057971014,68.94202898550722,68.89855072463767
900_chscase_census6,51.9125,54.3,,,,,,,,,,54.1625,,52.775,52.9375,54.3625,51.6625,54.975,52.9625,54.25
906_chscase_census5,48.548286604361365,49.445482866043605,,,,,,,,,,50.04361370716511,,49.33333333333333,48.88473520249221,49.55763239875389,48.82242990654206,,48.286604361370706,49.619937694704035
907_chscase_census4,51.327102803738306,51.75077881619937,,50.143302180685346,,48.41121495327103,,,,,,51.252336448598115,,51.09034267912772,,,,50.45482866043614,49.08411214953272,
908_chscase_census3,50.55451713395639,50.86604361370716,,,,,,,,,,49.40809968847352,,51.389408099688474,50.35514018691588,51.02803738317757,51.53894080996885,50.193146417445476,50.76635514018691,50.3551401869159
909_chscase_census2,50.105919003115254,50.09345794392523,,,,,,,,,,52.797507788161994,,50.7165109034268,,50.79127725856698,49.3582554517134,49.45794392523364,49.869158878504656,50.579439252336435
911_fri_c2_250_5,64.42,73.0,66.22,71.41999999999999,68.10000000000001,64.03999999999999,68.69999999999999,77.52000000000002,70.9,75.26,75.1,71.53999999999998,67.47999999999999,76.6,68.41999999999999,73.11999999999998,69.84,63.84000000000001,69.64,65.8
916_fri_c3_100_5,61.23456790123456,62.074074074074076,56.98765432098765,63.160493827160494,57.23456790123456,58.617283950617285,58.222222222222214,56.29629629629629,53.87654320987654,58.86419753086419,59.308641975308646,56.09876543209877,56.0,59.80246913580246,59.25925925925926,59.60493827160494,58.96296296296296,67.75308641975307,62.518518518518505,64.39506172839506
918_fri_c4_250_50,50.8,49.040000000000006,51.24000000000001,49.52,,50.6,50.66,,,,52.28,,52.31999999999999,,52.76000000000001,55.26000000000001,,50.98,50.74,52.04
920_fri_c2_500_50,55.49,,,,,,,,,,,,,,,55.48,,,,
922_fri_c2_100_50,56.09876543209877,55.851851851851855,53.72839506172839,55.01234567901235,52.88888888888889,51.30864197530864,55.358024691358025,55.95061728395061,54.66666666666666,59.1604938271605,58.66666666666666,56.39506172839506,59.30864197530864,53.82716049382715,52.049382716049394,54.320987654320994,55.851851851851855,56.54320987654321,55.11111111111111,55.851851851851855
925_visualizing_galaxy,82.77992277992276,85.29729729729729,88.06177606177604,80.60231660231659,84.18532818532819,,86.03861003861005,,,,,91.83011583011586,,81.17374517374517,87.07335907335907,86.11583011583012,86.22393822393823,91.5984555984556,88.26254826254828,86.3011583011583
926_fri_c0_500_25,55.62000000000001,,,,,,,,,,,55.97000000000001,,,54.14,,,,,
932_fri_c4_100_50,55.407407407407405,51.80246913580247,52.444444444444436,53.72839506172839,51.90123456790123,52.54320987654321,48.09876543209877,49.28395061728396,51.555555555555564,51.358024691358025,49.58024691358025,52.2469135802469,50.17283950617285,52.54320987654321,49.58024691358025,54.41975308641975,52.34567901234568,54.46913580246913,52.39506172839506,52.444444444444436
933_fri_c4_250_25,53.83084577114428,53.95024875621891,,60.35820895522389,55.462686567164184,53.75124378109452,,,,57.213930348258714,,52.8955223880597,,54.84577114427862,52.07960199004975,53.4726368159204,54.8457711442786,53.691542288557216,,53.3134328358209
935_fri_c1_250_10,56.86,66.7,61.32000000000001,60.78,60.68000000000001,60.25999999999999,69.14,,,62.58,,65.68,,58.72000000000001,62.54,59.6,62.17999999999999,62.52,57.32000000000001,60.6
936_fri_c3_500_10,54.902743142144644,53.41645885286784,,,,,,,,,,55.920199501246884,,,,54.60349127182044,55.25187032418952,,,
952_prnn_fglass,74.43678160919539,82.41379310344827,,,85.08045977011494,,,,,,,72.0,,74.98850574712641,73.19540229885058,67.90804597701148,85.88505747126436,84.34482758620689,84.6896551724138,85.51724137931033
969_iris,100.0,99.83333333333334,100.0,100.0,100.0,100.0,100.0,99.93333333333334,100.0,99.8,100.0,100.0,100.0,100.0,99.23333333333332,100.0,99.43333333333334,100.0,99.93333333333334,100.0
973_wine,84.50349650349648,98.57342657342657,98.74125874125878,98.74125874125878,98.74125874125878,98.74125874125878,98.74125874125878,93.53846153846158,98.1818181818182,98.1818181818182,98.15384615384615,86.3776223776224,97.42657342657343,85.34265734265736,82.993006993007,82.32167832167832,98.15384615384615,97.84615384615385,97.06293706293707,97.87412587412588
974_hayes-roth,60.41509433962265,57.018867924528315,56.679245283018865,54.867924528301884,52.981132075471706,61.24528301886793,51.88679245283018,63.132075471698116,62.37735849056603,57.132075471698116,59.24528301886793,55.77358490566037,62.9433962264151,61.35849056603773,58.83018867924528,62.37735849056603,62.339622641509436,54.94339622641509,56.64150943396226,51.283018867924525
